deck,topCount,top1Count,image
Snake-eyes,38,6,deck_images/snake-eyes.jpg
Tenpai Dragon,21,1,deck_images/tenpai-dragon.png
Yubel,7,2,deck_images/yubel.png
Voiceless Voice,7,1,deck_images/voiceless-voice.jpg
Fire King,5,0,deck_images/fire-king.png
Centu-lon,4,0,deck_images/centu-lon.png
Runick,4,0,deck_images/runick.png
Dragon Link,3,1,deck_images/dragon-link.png
Rescue-Ace,3,0,deck_images/rescue-ace.jpg
Branded,3,0,deck_images/branded.jpg
Chimera,3,0,deck_images/chimera.jpg
Gimmick Puppet,2,0,deck_images/gimmick-puppet.jpg
Memento,2,0,deck_images/memento.jpg
Labrynth,1,0,deck_images/labrynth.jpg
Salamangreat,1,0,deck_images/salamangreat.jpg
Floowandereeze,1,0,deck_images/floowandereeze.jpg
Tearlaments,1,0,deck_images/tearlaments.jpg
Evil Twin,1,0,deck_images/evil-twin.jpg
Vaalmonica,1,0,deck_images/vaalmonica.jpg
Horus,1,0,deck_images/horus.jpg
Ritual Beast,1,0,deck_images/ritual-beast.jpg
Trap Trix,1,0,deck_images/trap-trix.jpg
Spright,1,0,deck_images/spright.jpg
Paleozoic,1,0,deck_images/paleozoic.jpg
