Rank,CardName,IFPickRate
1,S.P Little Knight,78.49
2,Super Starslayer TY-PHON-Sky Crisis,34.50
3,Baronne de Fleur,25.64
4,IP Masquerena,25.62
5,Fiendsmith Requiem,24.81
6,"Apollousa, Bow of the Goddess",24.31
7,Fiendsmith Sequentia,24.26
8,Fiendsmith Lacrimosa,23.78
9,"Beatrice, Lady of the Eternal",21.97
10,"Promethean Princess, Bestower of Flames",20.72
11,Moon of the Closed Sky,20.38
12,Linkuriboh,19.20
13,Chaos Angel,17.23
14,Accesscode Talker,17.94
15,Hiita the Fire Charmer Ablaze,17.54
